,step,seq_length_0_loss,seq_length_1_loss,seq_length_2_loss,seq_length_3_loss,seq_length_4_loss,lora_rank_0_loss,lora_rank_1_loss,lora_rank_2_loss,lora_rank_3_loss,lora_rank_4_loss,learning_rate_0_loss,learning_rate_1_loss,learning_rate_2_loss,learning_rate_3_loss,target_modules_0_loss,target_modules_1_loss,target_modules_2_loss,target_modules_3_loss,target_modules_4_loss,target_modules_5_loss,target_modules_6_loss,target_modules_7_loss,batch_size_0_loss,batch_size_1_loss,batch_size_2_loss
10,560,1.1012146472930908,1.067326545715332,1.04433012008667,1.0243325233459473,1.0009222030639648,1.0059525966644287,1.0031520128250122,1.001654863357544,1.0007319450378418,1.000556230545044,1.10553240776062,1.0702917575836182,1.0012634992599487,0.9554026126861572,1.0666825771331787,1.0514249801635742,1.0545024871826172,1.041667103767395,1.0161809921264648,1.044946312904358,1.0100767612457275,1.000989317893982,1.0390751361846924,1.0219776630401611,1.0012227296829224
11,611,1.0905617475509644,1.0616154670715332,1.0398603677749634,1.020964741706848,0.9978418946266174,1.0031107664108276,1.0005146265029907,0.9988769888877868,0.9976291060447692,0.9974278807640076,1.10260272026062,1.0671446323394775,0.9981992840766908,0.94907808303833,1.0641906261444092,1.0486291646957395,1.0519081354141235,1.0386515855789185,1.0133219957351685,1.0419481992721558,1.0071204900741575,0.9979791045188904,1.0348269939422607,1.0176414251327517,0.9981244802474976
12,662,1.0874024629592896,1.0604692697525024,1.037600040435791,1.016127347946167,0.9958711862564088,1.000707745552063,0.9978471994400024,0.9968212842941284,0.9956855177879332,0.9954404234886168,1.1006386280059814,1.0652672052383425,0.9961124658584596,0.94484281539917,1.0627906322479248,1.0469619035720823,1.0503900051116943,1.0368354320526123,1.0115809440612793,1.040249586105347,1.005271077156067,0.9960375428199768,1.0320401191711426,1.014272928237915,0.9961630702018738
13,713,1.0865036249160769,1.0563993453979492,1.0360515117645264,1.012917399406433,0.9932834506034852,0.9982394576072692,0.9953575134277344,0.9941970109939576,0.9930614829063416,0.9929022789001464,1.098964810371399,1.0634205341339111,0.9935385584831238,0.9363036155700684,1.0607792139053345,1.0449340343475342,1.048316478729248,1.0348633527755735,1.0090878009796145,1.0378679037094116,1.0027292966842651,0.99354487657547,1.029771089553833,1.010866403579712,0.9935438632965088
14,764,1.0860108137130735,1.0535515546798706,1.0322930812835691,1.0116924047470093,0.996280074119568,0.9998306632041932,0.9969798922538756,0.9968767762184144,0.9961197972297668,0.9958347082138062,1.0980558395385742,1.0628483295440674,0.996576726436615,0.95451819896698,1.0631407499313354,1.0471563339233398,1.0502288341522217,1.036533236503601,1.0121068954467771,1.0399750471115112,1.0061017274856567,0.9966732263565063,1.0269172191619873,1.009686827659607,0.9965199828147888
15,815,1.082321286201477,1.052599310874939,1.0342508554458618,1.0103483200073242,0.9917136430740356,0.9965823888778688,0.9933715462684632,0.9926095008850098,0.9914631247520448,0.99126797914505,1.0973033905029297,1.0616637468338013,0.9919204711914062,0.9317235350608826,1.0597642660140991,1.0437332391738892,1.047066569328308,1.033469796180725,1.0078637599945068,1.0364525318145752,1.0013048648834229,0.9918628931045532,1.0275954008102417,1.008395075798035,0.9920095205307008
16,866,1.0810000896453855,1.0515345335006714,1.0320358276367188,1.00963032245636,0.9915506839752196,0.996280074119568,0.9931380152702332,0.9923574924468994,0.9912638664245604,0.991137146949768,1.0970609188079834,1.0615190267562866,0.9917592406272888,0.9304660558700562,1.0598491430282593,1.0436609983444214,1.0471627712249756,1.033356785774231,1.0078175067901611,1.0364588499069214,1.0012096166610718,0.9917348027229308,1.0262658596038818,1.0076582431793213,0.9918707013130188
17,917,1.0805305242538452,1.0514297485351562,1.0314974784851074,1.009247064590454,0.9905241131782532,0.9953757524490356,0.992167592048645,0.9913610219955444,0.9902136325836182,0.9900877475738524,1.09675395488739,1.0610603094100952,0.9907422065734864,0.9264284372329712,1.0589687824249268,1.0428162813186646,1.0462783575057983,1.0325461626052856,1.006784200668335,1.0355664491653442,1.0001192092895508,0.9906596541404724,1.025877594947815,1.0073341131210327,0.9908292889595032
18,968,1.08024799823761,1.051138997077942,1.0313125848770142,1.0090590715408323,0.9902032017707824,0.9950788617134094,0.991883397102356,0.991067111492157,0.989906907081604,0.9897573590278624,1.0966259241104126,1.0609227418899536,0.990422785282135,0.9253005981445312,1.0587234497070312,1.0425430536270142,1.0460081100463867,1.0322861671447754,1.0065069198608398,1.0352814197540283,0.999813437461853,0.9903702139854432,1.025680422782898,1.0071656703948977,0.9904998540878296
19,1019,1.0802209377288818,1.0511023998260498,1.0312825441360474,1.0090142488479614,0.9901326894760132,0.9950178265571594,0.991832971572876,0.9910231828689576,0.9898518919944764,0.9897197484970092,1.096603274345398,1.060883402824402,0.9903823137283324,0.9251011610031128,1.0586836338043213,1.04251229763031,1.0459792613983154,1.032252550125122,1.0064367055892944,1.0352543592453003,0.9997380971908568,0.9903182983398438,1.0256378650665283,1.0071107149124146,0.9904503226280212
